species,TFTx,BPP,CRISP,CTL,GF,OHA,LAAO,PLA2,SVMP,SVSP,cm,family,subfamily
Naja_atra,0.968,0,0.007,0.006,0.002,0,0.001,0.012,0.004,0,150,Elapidae,Elapinae
Naja_kaouthia,0.822,0,0,0.005,0.003,0.009,0.002,0.14,0,0,150,Elapidae,Elapinae
Ovophis_okinavensis,0,0,0.002,0.0046,0,0,0.0062,0.01,0.0042,0.931,55,Viperidae,Crotalinae
Pantherophis_guttatus,0,0,0.088,0,0.042,0,0,0.52,0,0,150,Colubridae,Colubroidea
Phalotris_mertensi,0.018,0,0.0033,0.216,0.004,0.0027,0.023,0.007,0.219,0.0022,100,Colubridae,Colubroidea
Philodryas_olfersii,0,0,0.104,0.058,0,0,0,0,0.524,0.089,125,Colubridae,Colubroidea
Protobothrops_flavoviridis,0,0,0.0385,0.152,0.0096,0,0.09,0.32,0.269,0.0851,137,Viperidae,Crotalinae
Sistrurus_catenatus,0.0083,0.0028,0.0667,0.0139,0.0667,0,0.0361,0.28,0.122,0.375,73.5,Viperidae,Crotalinae
Thamnodynastes_strigatus,0.002,0,0.019,0.054,0.039,0,0,0,0.762,0.082,70,Colubridae,Colubroidea
Opheodrys_aestivus,0.133,0,0,0,0.0571,0,0,0.036,0,0,91.5,Colubridae,Colubroidea
Dispholidus_typus,0.062,0,0.054,0.004,0.001,0,0,0.076,0.746,0.055,135,Colubridae,Colubroidea
Protobothrops_elegans,0,0.14,0.01,0.02,0.06,0,0.05,0.771,0.81,0.104,120,Viperidae,Crotalinae
Protobothrops_mucrosquamatus,0,0.26,0.20,0.03,0.18,0,0.31,0.555,0.173,0.118,116,Viperidae,Crotalinae
